company_name,sector,ticker,fiscal_year,revenue,ebitda,ebit,net_profit,total_assets,total_equity,total_debt,cfo,current_ratio,quick_ratio,roe,roce,ebitda_margin,interest_coverage,debt_equity,debt_ebitda,cfo_margin,asset_turnover,credit_score,credit_rating
ITC,FMCG,ITC,2025,75323.00,27478.00,25832.00,35052.00,88003.00,70030.00,285.00,17627.00,1.71,0.83,50.05,36.74,36.48,574.04,0.00,0.01,23.40,0.86,93.50,AAA
APL Apollo Tubes,Steel,APLAPOLLO,2021,8500.00,782.00,679.00,408.00,3399.00,1695.00,520.00,977.00,1.31,0.67,24.07,30.65,9.20,10.29,0.31,0.66,11.49,2.50,83.25,AA
APL Apollo Tubes,Steel,APLAPOLLO,2022,13063.00,1055.00,946.00,619.00,4452.00,2464.00,581.00,652.00,1.44,0.83,25.12,31.07,8.08,21.50,0.24,0.55,4.99,2.93,79.00,A
APL Apollo Tubes,Steel,APLAPOLLO,2023,16166.00,1160.00,1022.00,642.00,5852.00,3005.00,873.00,691.00,1.42,0.67,21.36,26.35,7.18,15.25,0.29,0.75,4.27,2.76,75.25,A
APL Apollo Tubes,Steel,APLAPOLLO,2024,18119.00,1369.00,1193.00,732.00,7187.00,3605.00,1144.00,1112.00,1.48,0.80,20.31,25.12,7.56,10.56,0.32,0.84,6.14,2.52,79.25,A
APL Apollo Tubes,Steel,APLAPOLLO,2025,20690.00,1400.00,1199.00,757.00,7596.00,4209.00,634.00,1213.00,1.26,0.67,17.99,24.76,6.77,9.02,0.15,0.45,5.86,2.72,77.92,A
Jindal Steel & Power,Steel,JINDALSTEL,2021,34579.00,15521.00,13107.00,4267.00,77840.00,31815.00,29910.00,11961.00,1.28,0.91,13.41,21.23,44.89,4.76,0.94,1.93,34.59,0.44,81.32,AA
Jindal Steel & Power,Steel,JINDALSTEL,2022,51166.00,17656.00,15559.00,6766.00,76644.00,35625.00,13502.00,16048.00,1.02,0.76,18.99,31.67,34.51,8.24,0.38,0.76,31.36,0.67,81.42,AA
Jindal Steel & Power,Steel,JINDALSTEL,2023,53212.00,12633.00,9942.00,3974.00,69427.00,38706.00,13046.00,7347.00,0.97,0.63,10.27,19.21,23.74,6.88,0.34,1.03,13.81,0.77,70.91,A
Jindal Steel & Power,Steel,JINDALSTEL,2024,50354.00,13024.00,10202.00,5943.00,78676.00,44316.00,16472.00,6008.00,1.11,0.71,13.41,16.78,25.86,7.88,0.37,1.26,11.93,0.64,71.41,A
Jindal Steel & Power,Steel,JINDALSTEL,2025,50129.00,12256.00,9488.00,2846.00,85766.00,47185.00,18406.00,10824.00,0.88,0.61,6.03,14.47,24.45,7.23,0.39,1.50,21.59,0.58,70.24,A
JSW Steel,Steel,JSWSTEEL,2021,79839.00,24857.00,20178.00,7873.00,147163.00,45610.00,66727.00,18831.00,1.21,0.80,17.26,17.96,31.13,5.10,1.46,2.68,23.59,0.54,75.09,A
JSW Steel,Steel,JSWSTEEL,2022,146371.00,45115.00,39114.00,20938.00,196485.00,67297.00,72237.00,26270.00,1.31,0.72,31.11,28.03,30.82,7.87,1.07,1.60,17.95,0.74,79.75,A
JSW Steel,Steel,JSWSTEEL,2023,165960.00,25944.00,18470.00,4139.00,210539.00,65695.00,80853.00,23323.00,1.24,0.72,6.30,12.60,15.63,2.68,1.23,3.12,14.05,0.79,62.76,BBB
JSW Steel,Steel,JSWSTEEL,2024,175006.00,36329.00,28157.00,8973.00,227898.00,77669.00,87984.00,12078.00,1.26,0.65,11.55,17.00,20.76,3.47,1.13,2.42,6.90,0.77,65.25,BBB
JSW Steel,Steel,JSWSTEEL,2025,168824.00,32034.00,22725.00,3491.00,240445.00,79496.00,98752.00,20899.00,1.28,0.72,4.39,12.75,18.97,2.70,1.24,3.08,12.38,0.70,60.09,BBB
Steel Authority of India,Steel,SAIL,2021,69114.00,16879.00,12776.00,4148.00,118090.00,45407.00,37677.00,23430.00,1.09,0.64,9.14,15.38,24.42,4.54,0.83,2.23,33.90,0.59,72.41,A
Steel Authority of India,Steel,SAIL,2022,103477.00,25638.00,21363.00,12243.00,120381.00,54212.00,17284.00,30987.00,0.78,0.38,22.58,29.88,24.78,12.58,0.32,0.67,29.95,0.86,71.00,A
Steel Authority of India,Steel,SAIL,2023,104448.00,13002.00,8038.00,2177.00,130782.00,54747.00,30773.00,-5290.00,1.06,0.44,3.98,9.40,12.45,3.95,0.56,2.37,-5.06,0.80,40.78,B
Steel Authority of India,Steel,SAIL,2024,105378.00,16427.00,11149.00,3067.00,141022.00,57102.00,36323.00,2911.00,1.22,0.52,5.37,11.93,15.59,4.51,0.64,2.21,2.76,0.75,59.11,BB
Steel Authority of India,Steel,SAIL,2025,102479.00,16341.00,10690.00,2372.00,136718.00,58906.00,36934.00,9914.00,1.25,0.53,4.03,11.15,15.95,3.83,0.63,2.26,9.67,0.75,57.94,BB
